name,hs type
XDI,coding
XDuce,coding
XDXF,coding
XFA,coding
XForms,coding
XHTML,coding
XHTML Basic,coding
XHTML Friends Network,coding
XHTML Modularization,coding
XidML,coding
XInclude,coding
XLIFF,coding
XLink,coding
XMI,coding
XML Encryption,coding
XML Information Set,coding
XML Interface for Network Services,coding
XML Resource,coding
XML Schema,coding
XML Script,coding
XML Signature,coding
XML for Analysis,coding
XML pipeline,coding
XML-RPC,coding
XMLTerm,coding
XMLTV,coding
XOMGL,coding
XOXO,coding
XPDL,coding
XPath 2.0,coding
XPointer,coding
XProc ,coding
XrML,coding
XSIL,coding
XSL Formatting Objects,coding
XSL Transformations,coding
XSPF,coding
XTCE,coding
XUL,coding
XUpdate,coding
ASN.1,coding
EBML,coding
SGML,coding
XML,coding
YAML,coding
HTML,coding
KML/KMZ,coding
Markdown,coding
Wiki markup,coding
XHTML MP,coding
ABC notation,coding
Amigaguide,coding
AsciiDoc,coding
AsciiDoctor,coding
CML,coding
C-HTML,coding
Computable Document Format,coding
ConTeXt,coding
Enriched text,coding
GuideML,coding
HDML,coding
HelpML,coding
HyTime,coding
HyperTeX,coding
IPF,coding
LinuxDoc,coding
Lout,coding
MIF,coding
MAML,coding
PVL,coding
POD,coding
Pillar,coding
reSt,coding
RFT,coding
S1000D,coding
Scribe,coding
Script,coding
SiSU,coding
SKiCal,coding
Skriv,coding
Textinfo,coding
TEI,coding
TExtile,coding
troff,coding
groff,coding
UDO,coding
WTVML,coding
Xupl,coding
Bach,coding
CDF,coding
OOXML,coding
SpreadsheetML,coding
PresentationML,coding
ReportML,coding
RTF,coding
UOF,coding
FeedSync,coding
GData Google Code,coding
hAtom,coding
Hina-Di,coding
LIRS,coding
EventsML-G2,coding
SportsML-G2,coding
ICE,coding
OCS,coding
OPDS,coding
RDF feed,coding
Simple List Extensions,coding
SyncML,coding
PubSubHubbub,coding
EventRSS,coding
GeoRSS,coding
Media RSS,coding
Marimba,coding
MCF,coding
NewsML 1,coding
PointCast,coding
SportsML,coding
OpenLaszlo,coding
CookSwing,coding
SwiXML,coding
SwingML,coding
SwixNG,coding
JFCML,coding
jInterface,coding
Thinlet,coding
XSWT,coding
JAXX,coding
ZUML Ajax web application UI generator,coding
FXML,coding
JavaFX,coding
Javabuilders,coding
JEasy,coding
eFace,coding
XFDL,coding
GladeXML,coding
HTMLR,coding
UIML,coding
PSML,coding
XWT,coding
QuiX,coding
XML Sapiens,coding
Bindows,coding
Boxely,coding
VTML,coding
XHPD,coding
XAL,coding
XRC,coding
libavg,coding
GNUstep Renaissance,coding
Rapicorn,coding
QML,coding
CSS,coding
DSSSL,coding
XSL,coding
JSSS,coding
FOSI,coding
Sass,coding
Less,coding
Stylus,coding
Biological Dynamics Markup Language,coding
Business Intelligence Markup Language,coding
Business Process Execution Language,coding
call control,coding
Darwin Information Typing Architecture,coding
Data center markup language,coding
Dimensional Markup Language,coding
Directory Service Markup Language,coding
Encoded Archival Context,coding
Encoded Archival Description,coding
eLesson Markup Language,coding
Enterprise Mashup Markup Language,coding
Extensible Postal Product Model and Language,coding
electronic publication,coding
Fiction Markup Language,coding
FIX algorithmic trading definition language,coding
Financial Information eXchange,coding
Financial products Markup Language,coding
Geography Markup Language,coding
Green Building XML,coding
IO-Link Device Description,coding
Log Markup Language,coding
Medical Reality Markup Language,coding
Music Encoding Initiative,coding
Open Financial Exchange,coding
Open Mathematical Documents,coding
Open Scripture Information Standard,coding
OpenDocument,coding
Petri Net Markup Language,coding
Remote Telescope Markup Language,coding
Synchronized Multimedia Integration Language,coding
Speech Application Language Tags,coding
Speech Synthesis Markup Language,coding
Strategy Markup Language,coding
Scalable Vector Graphics,coding
Theological Markup Language,coding
Translation Memory eXchange,coding
Vector Markup Language,coding
Web Distributed Data eXchange,coding
Wireless Markup Language,coding
Windows installers data,coding
Extensible 3D,coding
Extensible HyperText Markup Language,coding
XHTML Mobile Profile,coding
Standard Generalized Markup Language,coding
Extensible Markup Language,coding
Amiga hypertext documentation format,coding
Compact HyperText Markup Language,coding
Generalized Markup Language,coding
Gesture Markup Language,coding
