city,latitude,longitude
Newark,40.08207725000001,-81.71219000000002
Sacramento,38.57749691428572,-121.45793431428571
Fremont,37.76981491176471,-119.74773052941175
Grand Rapids,42.96411408823529,-85.66454658823534
Cambridge,42.371647727272716,-71.10598139393942
Oakland,37.99532666666667,-119.35455939393937
Durham,36.14043439393939,-78.70086815151512
Alexandria,38.58068057575758,-77.53499936363633
Albuquerque,35.11125503030303,-106.61381681818183
Oklahoma City,35.490744312500006,-97.5247666875
Manhattan,40.4384668125,-79.35944465624999
McLean,38.93633703124998,-77.18797062499999
Fort Meade,39.10853250000002,-76.74165750000003
Tulsa,36.13124919354839,-95.9750617419355
Wilmington,39.275720633333336,-75.34910796666666
Palo Alto,37.44075043333332,-122.14359796666666
San Mateo,37.56005965517241,-122.32086910344832
Tempe,33.39868213793103,-111.93039993103449
Troy,42.17111355172413,-82.0240667586207
Baton Rouge,30.432092107142857,-91.1279141785714
Redmond,47.67282171428571,-122.12380728571426
Annapolis Junction,39.12269374074076,-76.78738148148148
Fairfax,38.85866448148149,-77.31429851851853
Buffalo,42.892300222222225,-78.8594933333333
Charleston,33.4098931111111,-80.12578437037037
Rockville,39.08244244444447,-77.15848385185183
Chantilly,38.88934907407407,-77.43859318518518
Lincoln,40.168754851851844,-91.49989940740741
Boulder,40.02037881481482,-105.25692403703705
Detroit,42.33563188888888,-83.04747296296294
Pasadena,33.30463950000001,-111.24405230769233
Ann Arbor,42.2739566923077,-83.7362511538462
Omaha,41.23619330769232,-96.01482326923077
Boise,43.61474811538461,-116.23816265384616
Fort Lauderdale,26.13314061538461,-80.15920984615384
Plano,33.03145048000002,-96.72194840000006
Bethesda,38.99184716,-77.10485143999999
Salem,42.742106240000005,-104.23631000000002
Tucson,32.23248223999999,-110.91919184000002
Plymouth,42.81937125000001,-82.12547483333333
Scottsdale,33.557775041666666,-111.894412375
Dayton,39.363778791666675,-84.63173020833335
Norfolk,36.85571039130435,-76.27767760869564
Alpharetta,34.083003956521736,-84.27270547826087
New Orleans,29.96009395454546,-90.07628859090913
Burlington,43.91267818181817,-82.54377190909092
Richardson,32.97003690909091,-96.71226468181818
Princeton,39.82476242857142,-77.42241761904764
Franklin,38.067337,-82.9930317142857
San Juan,18.847141999999995,-67.7023932
Virginia Beach,36.830958349999996,-76.03949324999998
Honolulu,21.318359789473686,-157.86582315789474
Milpitas,37.42986342105263,-121.9093710526316
Tallahassee,30.450121842105272,-84.27678484210526
Harrisburg,40.031039578947365,-77.05469426315788
Memphis,35.11998968421053,-89.99069389473685
Menlo Park,37.453304894736846,-122.18345210526317
Auburn Hills,42.67533615789475,-83.2481494736842
Jersey City,40.724194315789475,-74.0628292631579
Aurora,40.583721000000004,-97.84885131578947
Burbank,34.17958838888888,-118.3134216666667
Pleasanton,37.675684,-121.88858444444443
Midland,33.28436266666667,-100.10282033333334
Bloomington,41.82423016666666,-89.81245144444445
Santa Ana,33.74562794444444,-117.85541861111109
Duluth,37.55446627777778,-86.35740305555555
Sterling,39.1658588235294,-78.15101858823529
Lehi,40.40519611764706,-111.86302576470588
Cary,36.154685235294124,-79.34306211764708
Saint Petersburg,27.798962941176462,-82.69244494117646
Vancouver,45.634415000000004,-122.6495474117647
Frederick,39.401436749999995,-77.4212478125
Middletown,40.940104874999996,-74.97354637499998
Ontario,35.924150625,-117.49715737499997
Anaheim,33.839027875,-117.89550537500001
Carlsbad,33.1423071875,-117.3141803125
Redwood City,37.49163612500001,-122.23421499999996
Waltham,42.38402575,-71.24675624999999
Birmingham,35.18270356250001,-86.11862175
Queens,40.704158625000005,-73.80538187500002
Knoxville,35.955220625,-83.96157575000001
Warren,42.140634666666664,-79.61061973333332
Concord,38.657113933333335,-100.24320306666667
Roseville,40.005888266666666,-115.65083453333334
Spokane,47.666747933333326,-117.42011653333334
Orange,33.55204919999999,-110.05109000000002
Kirkland,46.94244673333334,-117.75723046666666
Green Bay,44.516506866666674,-88.021626
Addison,33.559637466666665,-96.24140959999998
Schaumburg,42.0380335,-88.07851785714284
San Francisco Bay Area,37.828039999999994,-122.29404999999998
Gaithersburg,39.13679785714286,-77.20991749999999
Fort Belvoir,38.71200585714286,-77.1513435714286
Lafayette,35.252127571428574,-92.06196500000001
Woburn,42.48337685714285,-71.14985714285714
Hollywood,28.928420142857142,-85.09350285714287
Aberdeen Proving Ground,39.46628114285714,-76.13683857142858
Des Moines,42.4240027857143,-97.71362571428573
Manchester,42.047883923076924,-74.6032143076923
Lexington,38.62471500000001,-82.09849276923076
Quantico,38.5213966153846,-77.30835461538462
Falls Church,38.883121230769234,-77.17628384615388
Chandler,33.303765615384606,-111.84265615384612
Englewood,39.638219692307686,-104.95668384615387
Saint Paul,44.914610999999994,-93.12598230769231
Reno,39.508136846153846,-119.8007223076923
Fresno,36.760273769230764,-119.77674807692308
Bedford,38.92282238461539,-81.29420884615385
Augusta,38.02211015384615,-78.76990323076923
El Segundo,33.919287615384604,-118.40773892307689
Reading,40.42642792307693,-76.20712807692308
Bethlehem,40.63742461538462,-75.36952307692307
Santa Barbara,34.42499876923077,-119.70287807692308
Long Beach,33.77679669230769,-118.18332423076922
Fort Myers,26.585519538461536,-81.8523676923077
Mesa,33.424666666666674,-111.80715483333334
Davis,38.543131833333334,-121.74027341666665
Hartford,42.02435341666666,-75.29988125
Torrance,33.840098833333336,-118.32898241666668
Dulles,39.070371,-77.61019333333333
Fayetteville,35.10511541666667,-82.55771683333334
Research Triangle Park,35.899875,-78.858385
Frisco,33.151312999999995,-96.832175
Littleton,40.05162349999999,-99.4643635
El Paso,31.766796916666667,-106.47216625
Morrisville,36.93240775,-77.812822
Glendale,34.1509625,-118.25136166666665
Tacoma,47.24632583333334,-122.4422475
Dublin,38.58763691666666,-82.88625208333333
Auburn,39.195038333333336,-95.07953299999998
Industry,34.020073499999995,-117.94733891666665
Greensboro,36.067117499999995,-79.82961166666666
Monroe,38.82467458333334,-87.41036116666669
Chattanooga,35.05389616666667,-85.25194783333333
