Role,jobtitle,company,city,state,country,language,formattedLocation,source,date,snippet,url,onmousedown,latitude,longitude,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,stations
Data Analyst,Business Analyst (Contract),Datafin IT Recruitment,Cape Town,WC,ZA,en,"Cape Town, Western Cape",Datafin IT Recruitment,25/10/2018 20:42,An understanding of <b>data</b> architecture as it relates to systems and <b>data</b> flow. Experience of business analysis on <b>data</b> management projects within asset…,http://www.indeed.co.za/viewjob?jk=e1b0a71c595b8c9b&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhgjvA5GduQUuYYP0Z8IBpVCae_jCRRz8xvs6YSlRzVjZoWi4HbX7r8xjdChchUB7Sg&indpubnum=9091824477922251&atk=1dlmkg8hcolng800,"indeed_clk(this,'6924');",-33.91667,18.41667,e1b0a71c595b8c9b,FALSE,FALSE,FALSE,"Cape Town, Western Cape",11 months ago,
Data Analyst,Data Analyst at Interswitch Group,careersome,Lagos,LA,NG,en,Lagos,careersome,25/10/2018 21:55,"Interswitch, an Africa-focused integrated digital payments and commerce company, is hiring a <b>Data</b> <b>Analyst</b> in Lagos. O CRM and Service Desk <b>Data</b> Analytics.",http://ng.indeed.com/viewjob?jk=eaca25e98f7c0ded&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhiX_oyzwGyOD8OzPHbsD_KIae_jCRRz8xvs6YSlRzVjZuE-5djAidghQ9mF_Mv7Hvk&indpubnum=9091824477922251&atk=1dlmkgudaolng801,"indeed_clk(this,'9322');",6.45407,3.39467,eaca25e98f7c0ded,FALSE,FALSE,FALSE,Lagos,11 months ago,
Network Engineer,Senior Android Developer,Infoblink,القاهرة,C,EG,en,القاهرة,Infoblink,26/10/2018 08:01,We're looking for a top-notch mobile <b>engineer</b> (Android). Hence we're seeking a meticulous <b>engineer</b> with great attention to details.,http://eg.indeed.com/viewjob?jk=2e2bc42d16687b37&qd=_2otc9hbdFJBv5z8Fcdsn62PtXJzjBMyAdJt27taav8EMRwYcTJDSbqHLJiHNrh9lNLuvnUCv3szicr8j-YF45BTRSew387oAeVjFbdxGH0&indpubnum=9091824477922251&atk=1dlmli9r1oab7800,"indeed_clk(this,'2368');",30.06263,31.24967,2e2bc42d16687b37,FALSE,FALSE,TRUE,القاهرة,منذ 11 شهر,
Data Analyst,Analyst Programmer/Designer l,Nedbank,Johannesburg,GP,ZA,en,"Johannesburg, Gauteng",Nedbank,26/10/2018 20:04,"Participate in system environment design (defining <b>data</b> bases to be used, connectivity aspects, ensuring adherence to licensing of software).",http://www.indeed.co.za/viewjob?jk=75da126e552e3580&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhgjvA5GduQUuYYP0Z8IBpVCae_jCRRz8xvs6YSlRzVjZhIgUOHXaPnwp4qBQMMGCfo&indpubnum=9091824477922251&atk=1dlmkfudaolnf800,"indeed_clk(this,'6553');",-26.20227,28.04363,75da126e552e3580,FALSE,FALSE,FALSE,"Johannesburg, Gauteng",11 months ago,
Data Analyst,People/Project Analyst at Workforce Management Centre Limited,careersome,Lagos,LA,NG,en,Lagos,careersome,26/10/2018 21:56,1 year experience using <b>Data</b> Analysis Techniques. Manipulate and analyze large <b>data</b> sets to distill insights from <b>data</b> and connect disparate ideas into cohesive…,http://ng.indeed.com/viewjob?jk=aa66325c00a0f913&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhiX_oyzwGyOD8OzPHbsD_KIae_jCRRz8xvs6YSlRzVjZnu7SPzL2VSgKTc5zl0aCEU&indpubnum=9091824477922251&atk=1dlmkgvlsbinr800,"indeed_clk(this,'619');",6.45407,3.39467,aa66325c00a0f913,FALSE,FALSE,FALSE,Lagos,11 months ago,
Data Analyst,Data Analyst,Universal Egypt,الجيزة,GZ,EG,en,الجيزة,Universal Egypt,29/10/2018 10:35,"Requirements of the <b>Data</b> <b>Analyst</b>: Knowledge of <b>data</b> modelling, <b>data</b> cleansing, and <b>data</b> enrichment techniques. Monitor and audit <b>data</b> quality.",http://eg.indeed.com/viewjob?jk=0a320352dc4187c9&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhgFp4P5n2fNSScfjcUmJdU3ae_jCRRz8xvs6YSlRzVjZmJ4ySCUgMgqJTgFCRbRSX8&indpubnum=9091824477922251&atk=1dlmkgn38ov7n801,"indeed_clk(this,'1832');",30.00808,31.21093,0a320352dc4187c9,FALSE,FALSE,FALSE,الجيزة,منذ 11 شهر,
Network Engineer,Laboratory Manager,Leoni,Casablanca,6,MA,fr,Casablanca,Leoni,29/10/2018 12:16,"Guide and follow the lab <b>engineer</b> in the conduct of activities of the laboratory, follow-up action plans for non-conformity, train ""on a daily basis"" the lab…",http://ma.indeed.com/viewjob?jk=5cc642d1e85a8503&qd=_2otc9hbdFJBv5z8Fcdsn62PtXJzjBMyAdJt27taav_tk_Nq5FD0IYlNy6VGxEp5AkMjkNIbbTiFeRTTE4ehqKbIOiPoCr8TyeLu76FxvlQ&indpubnum=9091824477922251&atk=1dlmli5dpole1800,"indeed_clk(this,'7849');",33.593914,-7.61763,5cc642d1e85a8503,FALSE,FALSE,TRUE,Casablanca,il y a 11 mois,
Data Analyst,Junior Data Analyst,Ziyana Business Consulting,,GP,ZA,en,Gauteng,Ziyana Business Consulting,29/10/2018 12:53,"<b>Data</b> cleaning, <b>data</b> collection, <b>data</b> management, <b>data</b> scraping, etc. getting into the nitty gritty of the <b>Data</b>. Advanced <b>data</b> analysis skills in Excel (e.g.",http://www.indeed.co.za/viewjob?jk=3ef1a0984c9ab59f&qd=_2otc9hbdFJBv5z8Fcdsn_VkPXhcvUX1HZ749DIVJhgjvA5GduQUuYYP0Z8IBpVCae_jCRRz8xvs6YSlRzVjZsq0vLD0a6Y_SctkDRoRtzE&indpubnum=9091824477922251&atk=1dlmkftkqf1de800,"indeed_clk(this,'5769');",,,3ef1a0984c9ab59f,FALSE,FALSE,FALSE,Gauteng,11 months ago,
Network Engineer,Network Security Consultant,NCR,القاهرة,C,EG,en,القاهرة,NCR,29/10/2018 19:27,"The <b>Network</b> Security <b>Engineer</b> Consultant will be primarily responsible for the installation, tuning, optimization, and troubleshoot customer’s technical…",http://eg.indeed.com/viewjob?jk=642346bdd2a6ce3d&qd=_2otc9hbdFJBv5z8Fcdsn62PtXJzjBMyAdJt27taav8EMRwYcTJDSbqHLJiHNrh9lNLuvnUCv3szicr8j-YF44YaVjopqMOwvtF5Jj1y_1Q&indpubnum=9091824477922251&atk=1dlmli7ccobp8800,"indeed_clk(this,'9851');",30.06263,31.24967,642346bdd2a6ce3d,FALSE,FALSE,FALSE,القاهرة,منذ 11 شهر,
Network Engineer,Manager Tankage,SAPREF,Durban,ZN,ZA,en,"Durban, KwaZulu-Natal",SAPREF,29/10/2018 19:40,Serve as the site subject matter expert and represent SAPREF in the BP and Shell Tank <b>Networks</b>. The Tank Manager manages the Tank repair program along with a…,http://www.indeed.co.za/viewjob?jk=d1abc294419c3a4f&qd=_2otc9hbdFJBv5z8Fcdsn62PtXJzjBMyAdJt27taav-mffMyGHnjMg9lViyIWBMyiNT7gNvkuUfJW4oNIIlpdGs4G99ozhKKlkJCiWCysw4&indpubnum=9091824477922251&atk=1dlmlhmr2ngl3800,"indeed_clk(this,'2914');",-29.85,31.01667,d1abc294419c3a4f,FALSE,FALSE,FALSE,"Durban, KwaZulu-Natal",11 months ago,
