jobtitle,company,city,state,country,language,formattedLocation,source,date,snippet,url,onmousedown,latitude,longitude,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,stations
Data Engineer - Insurance,SET Consulting,Braamfontein,GP,ZA,en,"Braamfontein, Gauteng",SET Consulting,"Wed, 04 Dec 2019 18:27:08 GMT",Degree / Advanced Diploma in Information Technology and Computer Science with 2 - 3 years' <b>Data</b> Engineer / <b>Data</b> <b>Scientist</b> experience essential.,http://www.indeed.co.za/viewjob?jk=84a11bc461d874ba&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn2dnblv4800,"indeed_clk(this,'9194');",-26.198133,28.021814,84a11bc461d874ba,False,False,True,"Braamfontein, Gauteng",14 hours ago,
Business Intelligence Analyst/ Developer,Rewardsco,Umhlanga Rocks,ZN,ZA,en,"Umhlanga Rocks, KwaZulu-Natal",Indeed,"Mon, 02 Dec 2019 10:00:04 GMT",Work closely with the <b>Data</b> Architect and <b>Data</b> <b>Scientist</b> to design and implement BI solutions. <b>Data</b> modelling requirements (reporting and business models).,http://www.indeed.co.za/viewjob?jk=fa4705b8483c7e55&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn2dnblv4800,"indeed_clk(this,'9194');",-29.71667,31.06667,fa4705b8483c7e55,False,False,True,"Umhlanga Rocks, KwaZulu-Natal",2 days ago,
Senior Data Analyst,Goldman Tech Resourcing,Johannesburg,GP,ZA,en,"Johannesburg, Gauteng",Goldman Tech Resourcing,"Thu, 03 Oct 2019 16:05:56 GMT","Proven working experience as a <b>Data</b> <b>Scientist</b> or <b>Data</b> Analyst with some Actuarial experience. Technical expertise regarding <b>data</b> models, database design…",http://www.indeed.co.za/viewjob?jk=163e7092db4e62ec&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn2dnblv4800,"indeed_clk(this,'9194');",-26.20227,28.04363,163e7092db4e62ec,False,False,True,"Johannesburg, Gauteng",30+ days ago,
Data Scientists / Data Warehouse Development Specialists,ZealHR,,GP,ZA,en,"City of Tshwane, Gauteng",ZealHR,"Thu, 12 Sep 2019 16:12:00 GMT",Minimum 3 years working experience in a <b>data</b> warehouse environment with good working knowledge of <b>Data</b> Warehouse principles and best practices.,http://www.indeed.co.za/viewjob?jk=45b0e7be80093988&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn2dnblv4800,"indeed_clk(this,'9194');",-25.633423,27.887644,45b0e7be80093988,False,False,True,"City of Tshwane, Gauteng",30+ days ago,
MIS Analytics Manager,Tumaini Consulting,Centurion,GP,ZA,en,"Centurion, Gauteng",Tumaini Consulting,"Mon, 04 Nov 2019 10:22:17 GMT","The position will require hands on <b>data</b> analysis, coding and modelling, supervising and guiding junior <b>data</b> <b>scientists</b> and assisting in translating technical…",http://www.indeed.co.za/viewjob?jk=cda7ef9b1ce6ed80&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn33robjs800,"indeed_clk(this,'9930');",-25.87444,28.17056,cda7ef9b1ce6ed80,False,False,True,"Centurion, Gauteng",30 days ago,
Specialist: Data Science,ZealHR,,GP,ZA,en,"City of Tshwane, Gauteng",ZealHR,"Fri, 19 Jul 2019 04:12:01 GMT",Participate in the development of junior <b>data</b> <b>scientists</b>. Strong support to the lead and senior <b>data</b> <b>scientists</b>. <b>Data</b> science and analytics frameworks;,http://www.indeed.co.za/viewjob?jk=d8e76b6e12e31874&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn33robjs800,"indeed_clk(this,'9930');",-25.633423,27.887644,d8e76b6e12e31874,False,False,True,"City of Tshwane, Gauteng",4 months ago,
Specialist: Data Science,ZealHR,Cape Town,WC,ZA,en,"Cape Town, Western Cape",ZealHR,"Fri, 19 Jul 2019 04:12:02 GMT",Participate in the development of junior <b>data</b> <b>scientists</b>. Strong support to the lead and senior <b>data</b> <b>scientists</b>. <b>Data</b> science and analytics frameworks;,http://www.indeed.co.za/viewjob?jk=cc22549128827db0&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn33robjs800,"indeed_clk(this,'9930');",-33.91667,18.41667,cc22549128827db0,False,False,True,"Cape Town, Western Cape",4 months ago,
Project Manager,Praekelt.Org,Cape Town,WC,ZA,en,"Cape Town, Western Cape",Praekelt.Org,"Sat, 21 Sep 2019 12:42:27 GMT","You’ll be joining a talented team of developers, service designers, content designers, researchers, <b>data</b> <b>scientists</b> and project managers, building solutions…",http://www.indeed.co.za/viewjob?jk=5e4c33cff39b92f3&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn33robjs800,"indeed_clk(this,'9930');",-33.91667,18.41667,5e4c33cff39b92f3,False,False,True,"Cape Town, Western Cape",30+ days ago,
Software Engineer,ZealHR,Cape Town,WC,ZA,en,"Cape Town, Western Cape",ZealHR,"Wed, 16 Jan 2019 04:10:38 GMT","Experience working in a team environment that includes <b>scientists</b>, engineers, or computer <b>scientists</b>. Knowledge and experience with the ROOT <b>data</b> analysis…",http://www.indeed.co.za/viewjob?jk=1ba3683f15e6caa5&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tkV07CpYWUlemtjEVO0vTDEY_-taoSSxwsGCgAqkHstT_mLLiO7ijuO4vHeXqrsuqw&indpubnum=9091824477922251&atk=1drajn33robjs800,"indeed_clk(this,'9930');",-33.91667,18.41667,1ba3683f15e6caa5,False,False,True,"Cape Town, Western Cape",10 months ago,
Python Data Scientist,eHealth4everyone,Abuja,FC,NG,en,Abuja,eHealth4everyone,"Sat, 16 Feb 2019 00:04:36 GMT","The Python <b>Data</b> <b>Scientist</b> will write software codes to query, manipulate, wrangle and analyze datasets. He/she will extract <b>data</b> from different sources and…",http://ng.indeed.com/viewjob?jk=e418ca1cedde4985&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tl7mMKM2f9n9GD2lW0Xz8Xx3DmvYiquJUVtcw8CDr6KXVH5Y05AsHEKegFci4mEw_I&indpubnum=9091824477922251&atk=1drajn4egobjs800,"indeed_clk(this,'1295');",9.076478,7.398574,e418ca1cedde4985,False,False,False,Abuja,9 months ago,
Data Scientist,eHealth4everyone,Abuja,FC,NG,en,Abuja,eHealth4everyone,"Mon, 24 Dec 2018 00:04:05 GMT","The <b>Data</b> <b>Scientist</b> will work with the <b>data</b> analyst to discover information hidden in vast amounts of <b>data</b>, and help the organization make smarter decisions to…",http://ng.indeed.com/viewjob?jk=95b8cab30566d6d0&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tl7mMKM2f9n9GD2lW0Xz8Xx3DmvYiquJUVtcw8CDr6KXVH5Y05AsHEKegFci4mEw_I&indpubnum=9091824477922251&atk=1drajn4egobjs800,"indeed_clk(this,'1295');",9.076478,7.398574,95b8cab30566d6d0,False,False,False,Abuja,11 months ago,
Data Science Engineer at Kobo360,careersome,,,NG,en,Nigeria,careersome,"Mon, 01 Apr 2019 17:25:07 GMT","We are looking for a <b>data</b> <b>scientist</b> that will help us discover the information hidden in vast amounts of <b>data</b>, and help us make smarter decisions to deliver…",http://ng.indeed.com/viewjob?jk=274d1191fa1230b6&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tl7mMKM2f9n9GD2lW0Xz8Xx3DmvYiquJUVtcw8CDr6KXVH5Y05AsHEKegFci4mEw_I&indpubnum=9091824477922251&atk=1drajn4egobjs800,"indeed_clk(this,'1295');",,,274d1191fa1230b6,False,False,False,Nigeria,8 months ago,
Data Scientist at Access Bank Plc,careersome,,,NG,en,Nigeria,careersome,"Thu, 17 Jan 2019 18:59:49 GMT",This recruitment seeks to identify potential <b>data</b> science talents who have been sourced from the just concluded <b>data</b> hack and <b>Data</b> science of Nigeria.,http://ng.indeed.com/viewjob?jk=0a8a6e340c3e44d4&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tl7mMKM2f9n9GD2lW0Xz8Xx3DmvYiquJUVtcw8CDr6KXVH5Y05AsHEKegFci4mEw_I&indpubnum=9091824477922251&atk=1drajn4egobjs800,"indeed_clk(this,'1295');",,,0a8a6e340c3e44d4,False,False,False,Nigeria,10 months ago,
Data Analyst at Descasio Limited​,careersome,Lagos,LA,NG,en,Lagos,careersome,"Tue, 05 Nov 2019 11:24:20 GMT",Proven experience as a <b>Data</b> <b>Scientist</b> or <b>Data</b> Analyst. Develop custom <b>data</b> models and algorithms to apply to <b>data</b> sets. What will you be doing?,http://ng.indeed.com/viewjob?jk=52df2c0a4d402ee1&qd=_2otc9hbdFJBv5z8Fcdsn2-b0nnsPWs6xM_ANye41tl7mMKM2f9n9GD2lW0Xz8Xx3DmvYiquJUVtcw8CDr6KXVH5Y05AsHEKegFci4mEw_I&indpubnum=9091824477922251&atk=1drajn4egobjs800,"indeed_clk(this,'1295');",6.45407,3.39467,52df2c0a4d402ee1,False,False,False,Lagos,29 days ago,
